State-UT Code & Name,PC NO,PC NAME,AC NO,AC NAME,TOTAL ELECTORS,TOTAL VOTES IN STATE,NOTA VOTES EVM,CANDIDATE NAME,PARTY,VOTES SECURED EVM
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,A.Manikandan,IND,545
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,C.Bharath,IND,386
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,C.Kalanithi,ACDP,812
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,D.Anandaraj,IND,135
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,D.Ravi Pariyanar,RPI(A),213
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,Dr.K.Jayakumar,INC,118338
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,Dr.P.Venugopal,ADMK,65570
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,G.Arulraj,IND,213
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,G.George,IND,180
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,K.Chandrasekar,IND,129
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,K.Kamalanathan,IND,153
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,Logarangan.M,MNM,3376
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,M.VETRISELVI,NTK,6278
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,Murugesan,IND,538
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,N.Vikraman,IND,398
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,Pon.Raja,IND,5874
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,R.Anbuchezhian,BSP,1574
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,S.Sargunam,IND,153
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,V.Gunasekaran,IND,143
Tamil Nadu,1,Thiruvallur ,1,Gummidipoondi,267289,41825669,2042,Vijaya .R.,IND,544
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,A.Manikandan,IND,428
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,C.Bharath,IND,323
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,C.Kalanithi,ACDP,626
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,D.Anandaraj,IND,124
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,D.Ravi Pariyanar,RPI(A),195
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,Dr.K.Jayakumar,INC,113960
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,Dr.P.Venugopal,ADMK,56541
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,G.Arulraj,IND,103
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,G.George,IND,119
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,K.Chandrasekar,IND,97
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,K.Kamalanathan,IND,116
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,Logarangan.M,MNM,6082
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,M.VETRISELVI,NTK,7808
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,Murugesan,IND,547
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,N.Vikraman,IND,349
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,Pon.Raja,IND,7296
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,R.Anbuchezhian,BSP,1428
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,S.Sargunam,IND,108
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,V.Gunasekaran,IND,112
Tamil Nadu,1,Thiruvallur ,2,Ponneri,254414,41825669,2177,Vijaya .R.,IND,470
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,A.Manikandan,IND,447
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,C.Bharath,IND,389
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,C.Kalanithi,ACDP,624
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,D.Anandaraj,IND,128
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,D.Ravi Pariyanar,RPI(A),210
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,Dr.K.Jayakumar,INC,104304
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,Dr.P.Venugopal,ADMK,68106
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,G.Arulraj,IND,111
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,G.George,IND,97
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,K.Chandrasekar,IND,127
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,K.Kamalanathan,IND,110
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,Logarangan.M,MNM,5956
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,M.VETRISELVI,NTK,7794
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,Murugesan,IND,488
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,N.Vikraman,IND,352
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,Pon.Raja,IND,4002
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,R.Anbuchezhian,BSP,3168
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,S.Sargunam,IND,140
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,V.Gunasekaran,IND,112
Tamil Nadu,1,Thiruvallur ,4,Thiruvallur,260892,41825669,2302,Vijaya .R.,IND,416
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,A.Manikandan,IND,778
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,C.Bharath,IND,252
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,C.Kalanithi,ACDP,603
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,D.Anandaraj,IND,121
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,D.Ravi Pariyanar,RPI(A),490
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,Dr.K.Jayakumar,INC,127931
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,Dr.P.Venugopal,ADMK,86698
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,G.Arulraj,IND,124
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,G.George,IND,110
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,K.Chandrasekar,IND,123
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,K.Kamalanathan,IND,110
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,Logarangan.M,MNM,11474
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,M.VETRISELVI,NTK,9527
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,Murugesan,IND,785
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,N.Vikraman,IND,370
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,Pon.Raja,IND,7872
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,R.Anbuchezhian,BSP,5029
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,S.Sargunam,IND,84
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,V.Gunasekaran,IND,206
Tamil Nadu,1,Thiruvallur ,5,Poonamallee,332379,41825669,2716,Vijaya .R.,IND,279
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,A.Manikandan,IND,449
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,C.Bharath,IND,296
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,C.Kalanithi,ACDP,697
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,D.Anandaraj,IND,148
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,D.Ravi Pariyanar,RPI(A),300
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,Dr.K.Jayakumar,INC,146058
Tamil Nadu,1,Thiruvallur ,6,Avadi,409787,41825669,4885,Dr.P.Venugopal,ADMK,66620
