Sr.No.,PARTY TYPE,ABBREVIATION,PARTY NAME
1,N,AITC,All India Trinamool Congress
2,N,BJP,Bharatiya Janata Party
3,N,BSP,Bahujan Samaj Party
4,N,CPI,Communist Party of India
5,N,CPIM,Communist Party of India (Marxist)
6,N,INC,Indian National Congress
7,N,NCP,Nationalist Congress Party
8,S,AAAP,Aam Aadmi Party
9,S,ADMK,All India Anna Dravida Munnetra Kazhagam
10,S,AGP,Asom Gana Parishad
11,S,AIFB,All India Forward Bloc
12,S,AIMIM,All India Majlis-E-Ittehadul Muslimeen
13,S,AINRC,All India N.R. Congress
14,S,AIUDF,All India United Democratic Front
15,S,AJSUP,AJSU Party
16,S,BJD,Biju Janata Dal
17,S,BLSP,Rashtriya Lok Samta Party
18,S,BOPF,Bodoland Peoples Front
19,S,DMDK,Desiya Murpokku Dravida Kazhagam
20,S,DMK,Dravida Munnetra Kazhagam
21,S,INLD,Indian National Lok Dal
22,S,IPFT,Indigenous People's Front of Tripura
23,S,IUML,Indian Union Muslim League
24,S,JD(S),Janata Dal  (Secular)
25,S,JD(U),Janata Dal  (United)
26,S,JKN,Jammu & Kashmir National Conference
27,S,JKNPP,Jammu & Kashmir National Panthers Party
28,S,JKPDP,Jammu & Kashmir Peoples Democratic Party
29,S,JMM,Jharkhand Mukti Morcha
30,S,JVM,Jharkhand Vikas Morcha (Prajatantrik)
31,S,KEC(M),Kerala Congress  (M)
32,S,LJP,Lok Jan Shakti Party
33,S,MNF,Mizo National Front
34,S,NDPP,Nationalist Democratic Progressive Party
35,S,NPEP,National People's Party
36,S,NPF,Naga Peoples Front
37,S,PMK,Pattali Makkal Katchi
38,S,PPA,People's Party of Arunachal
39,S,RJD,Rashtriya Janata Dal
40,S,RLD,Rashtriya Lok Dal
41,S,RSP,Revolutionary Socialist Party
42,S,SAD,Shiromani Akali Dal
43,S,SDF,Sikkim Democratic Front
44,S,SHS,Shivsena
45,S,SKM,Sikkim Krantikari Morcha
46,S,SP,Samajwadi Party
47,S,TDP,Telugu Desam
48,S,TRS,Telangana Rashtra Samithi
49,S,UDP,United Democratic Party
50,S,YSRCP,Yuvajana Sramika Rythu Congress Party
51,U,AABHAP,Aajad Bharat Party (Democratic)
52,U,AACP,Adarshwaadi Congress Party
53,U,AAHPty,Aap Aur Hum Party
54,U,AAM,Aam Adhikar Morcha
55,U,AAPP,Aapki Apni Party (Peoples)
56,U,ABD,Adim Bhartiya Dal
57,U,ABEP,Akhil Bhartiya Ekata Party
58,U,ABGP,Akhil Bhartiya Gondwana Party
59,U,ABHM,Akhil Bharat Hindu Mahasabha
60,U,ABHP,Adhunik Bharat Party
61,U,ABHS,Akhil Bharatiya Sena
62,U,ABJS,Akhil Bharatiya Jan Sangh
63,U,ABLP,Akhil Bhartiya Lok Dal
64,U,ABML(S),Akhil Bharatiya Muslim League (Secular)
65,U,ABMP,Akhil Bharatiya Manavata Paksha
66,U,ABNNP,Akhil Bhartiya Navnirman Party
67,U,ABSKP,Akhil Bharat Samagra Kranti Party
68,U,ABSSP,Akhil Bhartiya Sarvadharma Samaj Party
69,U,ACDP,Anti Corruption Dynamic Party
70,U,ACP,Andhra Chaitanya Party
71,U,ADAL,Apna Dal (Soneylal)
72,U,ADPT,Apna Desh Party
73,U,ADRP,Assam Dristi Party
74,U,ADRSP,Adarsh Samaj Party
75,U,ADUP,Apna Dal United Party
76,U,AgIMK,Agila India Makkal Kazhagam
77,U,AHFBK,Akhil Hind Forward Bloc (Krantikari)
78,U,AHIMSASP,Ahimsa Socialist Party
79,U,AHNP,Aihra National Party
80,U,aicp,New All India Congress Party
81,U,AIDMMK,Ahila India Dhayaga Makkal Munnetra Katchi
82,U,AIJAP,All India Jana Andolan Party
83,U,AIMAK,Anaithu Makkal Katchi
84,U,AIMF,All India Minorities Front
85,U,AINHCP,All India Hindustan Congress Party
86,U,AINPP,All India Praja Party
87,U,AIP,All Indians Party
88,U,AIPF,All India Peoples' Front (Radical)
89,U,AIPTMMK,All  India Puratchi Thalaivar Makkal Munnettra Kazhagam
90,U,AIRCP,All Indian Rajiv Congress Party
91,U,AIUC,All India Ulama Congress
92,U,AIUUK,All India Uzhavargal Uzhaippalargal Katchi
93,U,AIVP,Akila India Vallalar Peravai
94,U,AJM,Asom Jana Morcha
95,U,AJNSP,Aadarsh Janata Sewa Party
96,U,AJPI,Aam Janta Party (India)
97,U,AJPR,Aam Janta Party Rashtriya
98,U,AKBHAD,Akhil Bhartiya Apna Dal
99,U,AKBJHP,Akhil Bhartiya Jharkhand Party
100,U,AKBMP,Akhil Bhartiya Mithila Party
101,U,AKHP,Akhand Hind Party
102,U,AKSP,Akhand Samaj Party
103,U,ALHP,Al-Hind Party
104,U,ALINLBP,All India Labour Party
105,U,ALoP,Aasra Lokmanch Party
106,U,AlPP,All Peoples Party
107,U,AMB,Amra Bangalee
108,U,AMiP,Aadarsh Mithila Party
109,U,AMKP,Azad Mazdoor Kissan Party
110,U,AMPK,Anaithu Makkal Puratchi Katchi
111,U,AnAP,Anjaan Aadmi Party
112,U,ANC,Ambedkar National Congress
113,U,ANIJP,Andaman & Nicobar Janta Party
114,U,ANNADATA,Annadata Party
115,U,ANRP,Adarsh Nyay Rakshak Party
116,U,ANSP,Ahinsa Samaj Party
117,U,APEP,All Pensioner’s Party
118,U,APKSP,Apna Kisan Party
119,U,APoI,Ambedkarite Party of India
120,U,ARK,Akhand Rashtrawadi Party
121,U,ARP,Ambedkarist Republican Party
122,U,ARPS,Andhra Rastra Praja Samithi
123,U,ASaP,Awami Samta Party
124,U,ASDC,Autonomous State Demand Committee
125,U,ASDHP,Asli Deshi Party
126,U,ASGP,Aadarsh Sangram Party
127,U,ASJP,Apna Samaj Party
128,U,ASP,Ambedkar Samaj Party
129,U,ATBP,Atulya Bharat Party
130,U,AVIRP,AARAKSHAN VIRODHI PARTY
131,U,AVVP,Adhikar Vikas Party
132,U,AYP,Ambedkar Yug Party
133,U,AYSRCP,Anna YSR Congress Party
134,U,BAAP,Bharat Jan Aadhar Party
135,U,BAEP,Bharatiya Aavaam Ekta Party
136,U,BaHaP,Bhartiya Harit Party
137,U,BAHUMP,Bahujan Maha Party
138,U,BaJD,Bhartiya Janta Dal
139,U,BALP,Baliraja Party
140,U,BARESP,Bahujan Republican  Socialist Party
141,U,BARP,Bhartiya Anarakshit Party
142,U,BaSaPa,Bhartiya Sarvodaya Party
143,U,BaVaP,Bhartiya Vanchitsamaj Party
144,U,BAWPA,Bahujan Awam Party
145,U,BBC,Bharatiya Bahujan Congress
146,U,BBKD,BhartiyaBahujanKranti Dal
147,U,BBM,Bharipa Bahujan Mahasangh
148,U,BBMP,Bharat Bhrashtachar Mitao Party
149,U,BBPP,Bharatiya Bahujan Parivartan  Party
150,U,BCUF,B. C. United Front
151,U,BDJS,Bharath Dharma Jana Sena
152,U,BDlP,Bhartiya Dalit Party
153,U,BDPty,Bharatrashtra Democratic Party
154,U,BEPP,Bhapase Party
155,U,BGanP,Bharatiya Gana Parishad
