Constituency,District,Lok sabha constituency
Gummidipoondi,Tiruvallur,Tiruvallur
Ponneri,Tiruvallur,Tiruvallur
Tiruttani,Tiruvallur,Arakkonam
Thiruvallur,Tiruvallur,Tiruvallur
Poonamallee,Tiruvallur,Tiruvallur
Avadi,Tiruvallur,Tiruvallur
Maduravoyal,Tiruvallur,Sriperumbudur
Ambattur,Tiruvallur,Sriperumbudur
Madavaram,Tiruvallur,Tiruvallur
Thiruvottiyur,Tiruvallur,Chennai North
Dr. Radhakrishnan Nagar,Chennai,Chennai North
Perambur,Chennai,Chennai North
Kolathur,Chennai,Chennai North
Villivakkam,Chennai,Chennai Central
Thiru-Vi-Ka-Nagar,Chennai,Chennai North
Egmore,Chennai,Chennai Central
Royapuram,Chennai,Chennai North
Harbour,Chennai,Chennai Central
Chepauk-Thiruvallikeni,Chennai,Chennai Central
Thousand Lights,Chennai,Chennai Central
Anna Nagar,Chennai,Chennai Central
Virugambakkam,Chennai,Chennai South
Saidapet,Chennai,Chennai South
Thiyagarayanagar,Chennai,Chennai South
Mylapore,Chennai,Chennai South
Velachery,Chennai,Chennai South
Shozhinganallur,Kancheepuram,Chennai South
Alandur,Kancheepuram,Sriperumbudur
Sriperumbudur,Kancheepuram,Sriperumbudur
Pallavaram,Chengalpattu,Sriperumbudur
Tambaram,Chengalpattu,Sriperumbudur
Chengalpattu,Chengalpattu,Kanchipuram
Tirupporur,Chengalpattu,Kanchipuram
Cheyyur,Chengalpattu,Kanchipuram
Maduranthakam,Chengalpattu,Kanchipuram
Uthiramerur,Kancheepuram,Kanchipuram
Kancheepuram,Kancheepuram,Kanchipuram
Arakkonam,Ranipet,Arakkonam
Sholingur,Ranipet,Arakkonam
Katpadi,Vellore,Arakkonam
Ranipet,Ranipet,Arakkonam
Arcot,Ranipet,Arakkonam
Vellore,Vellore,Vellore
Anaikattu,Vellore,Vellore
Kilvaithinankuppam (K.V Kupam),Vellore,Vellore
Gudiyattam,Vellore,Vellore
Vaniyambadi,Tirupattur,Vellore
Ambur,Tirupattur,Vellore
Jolarpet,Tirupattur,Tiruvannamalai
Tirupattur,Tirupattur,Tiruvannamalai
Uthangarai,Krishnagiri,Krishnagiri
Bargur,Krishnagiri,Krishnagiri
Krishnagiri,Krishnagiri,Krishnagiri
Veppanahalli,Krishnagiri,Krishnagiri
Hosur,Krishnagiri,Krishnagiri
Thalli,Krishnagiri,Krishnagiri
Palacode,Dharmapuri,Dharamapuri
Pennagaram,Dharmapuri,Dharamapuri
Dharmapuri,Dharmapuri,Dharamapuri
Pappireddippatti,Dharmapuri,Dharamapuri
Harur,Dharmapuri,Dharamapuri
Chengam,Tiruvannamalai,Tiruvannamalai
Tiruvannamalai,Tiruvannamalai,Tiruvannamalai
Kilpennathur,Tiruvannamalai,Tiruvannamalai
Kalasapakkam,Tiruvannamalai,Tiruvannamalai
Polur,Tiruvannamalai,Arani
Arani,Tiruvannamalai,Arani
Cheyyar,Tiruvannamalai,Arani
Vandavasi,Tiruvannamalai,Arani
Chenji,Viluppuram,Arani
Mailam,Viluppuram,Arani
Tindivanam,Viluppuram,Viluppuram
Vanur,Viluppuram,Viluppuram
Villupuram,Viluppuram,Viluppuram
