,2021,2019,2016
Aathi Thamizhar Peravai,DMK+,DMK+,CNonA
All India Anna Dravida Munnetra Kazhagam,ADMK+,ADMK+,ADMK+
All India Forward Bloc,DMK+,CNonA,FBMNK
All India Majlis-E-Ittehadul Muslimeen,AMMK+,CNonA,CNonA
All India Moovendar Munnani Kazhagam,ADMK+,ADMK+,FBMNK
All India N.R. Congress ,CNonA,ADMK+,CNonA
All India Samathuva Makkal Katchi,MMK,ADMK+,ADMK+
Amma Makkal Munnettra Kazagam,AMMK+,AMMK+,CNonA
Bharatiya Janata Party,ADMK+,ADMK+,NDA
Communist Party of India,DMK+,DMK+,MNK
Communist Party of India (Marxist),DMK+,DMK+,MNK
Desiya Murpokku Dravida Kazhagam,AMMK+,ADMK+,MNK
Dravida Munnetra Kazhagam,DMK+,DMK+,DMK+
Gokula Makkal Katchi,AMMK+,CNonA,CNonA
Indian National Congress,DMK+,DMK+,DMK+
Indian Union Muslim League,DMK+,DMK+,DMK+
Indiya Jananayaka Katchi,MMK,DMK+,NDA
Janata Dal (Secular),MMK,CNonA,CNonA
Kongunadu Jananayaka Katchi,CNonA,CNonA,NDA
Kongunadu Makkal Desia Katchi,DMK+,DMK+,DMK+
Makkal Arasu Katchi,AMMK+,CNonA,CNonA
Makkal Needhi Maiam,MMK,MMK,CNonA
Makkal Viduthalai Katchi,DMK+,ADMK+,CNonA
Manithaneya Jananayaga Katchi,DMK+,DMK+,ADMK+
Manithaneya Makkal Katchi,DMK+,DMK+,DMK+
Marudhu Senai Sangam,AMMK+,ADMK+,CNonA
Marumalarchi Dravida Munnetra Kazhagam,DMK+,DMK+,MNK
Moovendar Munnetra Kazhagam,ADMK+,CNonA,DMK+
Mukkulathor Pulipadai,CNonA,CNonA,ADMK+
Naam Tamilar Katchi,NTK,NTK,NTK
New Justice Party,CNonA,ADMK+,CNonA
None of the Above,NOTA,NOTA,NOTA
Pasumpon Desiya Kazhagam,ADMK+,CNonA,ADMK+
Pattali Makkal Katchi,ADMK+,ADMK+,CNonA
Perunthalaivar Makkal Katchi,ADMK+,ADMK+,DMK+
Puratchi Bharatham Katchi,ADMK+,ADMK+,ADMK+
Puthiya Tamilagam,CNonA,ADMK+,DMK+
Republican Party of India,CNonA,CNonA,ADMK+
Samuga Samathuva Padai ,CNonA,CNonA,DMK+
SOCIAL DEMOCRATIC PARTY OF INDIA,AMMK+,AMMK+,CNonA
Tamil Maanila Congress (Moopanar),ADMK+,ADMK+,MNK
Tamil Maanila Muslim League,CNonA,CNonA,ADMK+
Tamil Nadu Kongu Ilaingar Peravai,CNonA,CNonA,ADMK+
Tamil Nadu Peasants and Workers Party,CNonA,CNonA,DMK+
Tamilaga Makkal Jananayaka Katchi,MMK,CNonA,CNonA
Tamizhaga Makkal Munnetra Kazhagam,ADMK+,ADMK+,CNonA
Tamizhaga Vazhvurimai Katchi,DMK+,DMK+,CNonA
Viduthalai Chiruthaigal Katchi,DMK+,DMK+,MNK
Viduthalai Tamil Puligal Katchi,AMMK+,CNonA,CNonA
